decil	days	tmin	tmax	tmean	std_tmin	std_tmax	std_tmeann
1	10	22.124456349084724	34.126776064254244	28.224816668612224	2.2038748639827186	3.509280065263002	2.8504622671189335
2	10	21.692065360522843	32.80937350984256	27.224611630797696	1.750064330586606	3.641922451297433	2.6447348072556487
3	11	21.760408554835813	33.016023102283675	27.38067460843129	1.6432770178179794	3.9426813457603593	2.769812599639105
4	10	22.049043068272177	32.744297790142845	27.238111120620694	1.5018234109206268	3.729479012434988	2.4548383039436774
5	10	21.374483872588637	31.520597126089662	26.545859292295397	1.6401221580210466	3.412201131191342	2.6176462926565347
6	8	21.518067945205672	31.17699755064426	26.045725149666747	2.076947925789111	3.561734935579152	2.784607291845247
7	10	21.50872209019727	31.61125176733352	26.622948876629206	1.850409720589267	3.959392582084445	2.9382576709842794
8	10	20.827092012523725	29.05071212528466	24.884866273215163	2.3553479295272113	4.142048133794007	3.1846378402151916
9	11	19.570843029541386	28.46308512749047	23.844603827082427	2.5846179227692705	3.919293568862713	3.0280762353816595
10	10	19.735583425736674	27.675388628639546	23.272108151542373	2.660258712657537	4.158320923707084	3.0427004386787773
11	10	18.54547201581863	26.747493737872265	22.246334781549102	3.1936124223492004	4.727179974731589	3.6153845042956143
12	10	17.952701037381026	25.745011035005803	21.41444432081572	3.314846401948171	4.736583105291576	3.712335816842667
13	10	15.801065451779976	24.495304568658597	20.077144450832897	4.013644696651865	4.432810869932716	3.581411741183788
14	10	15.24130913870454	22.877839111890115	18.48396123811277	3.621290106077673	4.384548331903218	3.2114620898408806
15	11	13.40025286219775	22.506858202321943	17.44407218915789	3.7678930667272788	4.705561407846007	3.265515887877247
16	10	12.673737449693682	21.80143241097288	16.912230917686017	4.2008971387626755	4.067771338254819	3.1318222222581453
17	10	11.594290965872183	21.763638891342243	16.133534678820077	4.611728077872534	4.75991566164217	3.704974558362296
18	10	11.000459739731703	21.711874111773263	15.685121297243704	4.434748585185496	4.341867116673691	3.5418335347015693
19	10	10.693217036272017	22.43510210576916	16.136180992789473	4.115524636071197	5.097128651374944	3.978407824563444
20	10	10.290965930966097	22.70719964112629	16.138673465868937	5.11488000619286	5.167700252095935	4.349441146115388
21	11	8.940570956550248	23.527796165275614	15.961944850355977	5.157168681784007	4.794730528639241	3.832902234665403
22	10	11.491191728976055	25.36307316698439	18.00322979823456	4.608501288064634	5.323278311780851	3.9593128927410333
23	10	11.337206730236055	27.287362192893482	19.03132199176591	4.219982538659439	5.753578366781488	4.53920345342304
24	11	11.54820303338055	28.626230530446026	19.765390183937164	4.906080750546883	6.520474541689382	4.870417171658595
25	10	13.747535059445607	29.370612999116243	21.213806075587964	5.076907507712653	6.685080253702112	4.844915306563903
26	10	14.066501312239376	29.83647820407932	21.957467729648833	4.230734302882584	5.253227308057982	3.7910114695438013
27	10	15.653539968493906	31.355082501430065	23.419995200302317	4.559830771454796	5.347717011586482	4.163878308687875
28	10	18.289472045939462	31.98774512636391	24.7822959014029	3.534586822178469	5.221144654457736	4.017380740087945
29	10	18.456498953587825	32.39708798396988	25.35669697081978	2.9783396933608293	6.092303151043132	4.4559065435869885
30	11	20.045629438003637	33.697134156021576	26.484274951636102	2.6943225371591035	5.549064910672316	3.8547968049716967
31	10	19.46389453900719	32.653045911433075	25.7763744301297	2.701378816328615	5.882307465498561	4.098089290337907
32	10	19.865548761905437	33.04156426574137	26.292161551021483	2.989794681490231	5.26334378578641	3.777850687588782
33	10	20.886597298442254	34.13173995918595	27.400452155165183	2.533364235043428	5.367284554610474	3.8824380714886364
34	10	20.88627162233924	31.980558642264768	26.09942924540376	2.4312869601812355	5.157896655442422	3.5665901470244767
35	10	21.65531191726095	33.92834678566475	27.800049674069875	2.1089865804577714	4.049532818243101	3.056375993751901
36	11	21.884576690916187	33.96119589537831	28.03027066297933	1.9255167447759436	4.125114002833338	3.1562193985523503
